antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
algebre 1 : rappels de cours et exercices avec solutions,cours d'algèbre et exercices corrigés,0.31932773109243695,0.25210084033613445,0.13445378151260504,0.4210526315789474,1.6701754385964913,1.0,0.05395099216157051,1.291825821237586,0.5895061728395062,0.30769230769230765,0.22590183323477236,0.4771929824561404
cours d'algèbre et exercices corrigés,algebre 1 : rappels de cours et exercices avec solutions,0.25210084033613445,0.31932773109243695,0.13445378151260504,0.5333333333333333,1.6701754385964913,1.0,0.05395099216157051,1.4585834333733494,0.5365168539325843,0.30769230769230765,0.31440329218107,0.4771929824561404
exercices en langage c++ : 178 exercices corrigés,algebre 1 : rappels de cours et exercices avec solutions,0.03361344537815126,0.31932773109243695,0.025210084033613446,0.75,2.348684210526316,1.0,0.014476378786808844,2.722689075630252,0.5942028985507247,0.07692307692307694,0.6327160493827161,0.4144736842105263
mathématiques rappels et cours exercices résolus,algebre 1 : rappels de cours et exercices avec solutions,0.058823529411764705,0.31932773109243695,0.025210084033613446,0.4285714285714286,1.342105263157895,1.0,0.006426099851705391,1.1911764705882355,0.2708333333333335,0.07142857142857144,0.1604938271604939,0.25375939849624063
tout sur r : ensemble des nombres reels structures algebrique et topologique,algebre 1 : rappels de cours et exercices avec solutions,0.058823529411764705,0.31932773109243695,0.04201680672268908,0.7142857142857143,2.236842105263158,1.0,0.023232822540781024,2.382352941176471,0.5875000000000001,0.12500000000000003,0.5802469135802469,0.4229323308270677
eléments de la théorie des probabilités t.1,"fonctions de plusieurs variables relles : imites,continuite,differentiabilité et.... cours détaillé et exercices résolus",0.04201680672268908,0.21008403361344538,0.025210084033613446,0.6,2.856,1.0,0.016383023797754394,1.9747899159663864,0.6783625730994151,0.11111111111111112,0.4936170212765957,0.36
probabilites : rappels de cours et exercices corriges,"fonctions de plusieurs variables relles : imites,continuite,differentiabilité et.... cours détaillé et exercices résolus",0.1092436974789916,0.21008403361344538,0.09243697478991597,0.8461538461538461,4.027692307692307,1.0,0.06948661817668245,5.134453781512605,0.8439108061749572,0.4074074074074075,0.8052373158756138,0.6430769230769231
"fonctions de plusieurs variables relles : imites,continuite,differentiabilité et.... cours détaillé et exercices résolus",probabilites : rappels de cours et exercices corriges,0.21008403361344538,0.1092436974789916,0.09243697478991597,0.44,4.027692307692308,1.0,0.06948661817668245,1.5906362545018005,0.9516441005802708,0.4074074074074075,0.37132075471698117,0.6430769230769231
